search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
Basmati Rice,694550,Woolworths Basmati Rice,Woolworths,4,$0.40 / 100G,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/694550.jpg,https://www.woolworths.com.au/shop/productdetails/694550
Basmati Rice,694551,Woolworths Basmati Rice,Woolworths,7.5,$0.38 / 100G,2kg,https://cdn0.woolworths.media/content/wowproductimages/small/694551.jpg,https://www.woolworths.com.au/shop/productdetails/694551
Basmati Rice,360348,Woolworths Microwave Basmati Rice,Woolworths,1.65,$0.66 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/360348.jpg,https://www.woolworths.com.au/shop/productdetails/360348
Basmati Rice,34294,Riviana Basmati Rice Extra Long Grain,Riviana,7,$0.70 / 100G,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/034294.jpg,https://www.woolworths.com.au/shop/productdetails/34294
Basmati Rice,528194,Woolworths Family Size Basmati Rice,Woolworths,2.75,$0.61 / 100G,450g,https://cdn0.woolworths.media/content/wowproductimages/small/528194.jpg,https://www.woolworths.com.au/shop/productdetails/528194
Basmati Rice,63665,Woolworths Basmati Rice Microwave Cup,Woolworths,2.2,$0.88 / 100G,125g x 2 pack,https://cdn0.woolworths.media/content/wowproductimages/small/063665.jpg,https://www.woolworths.com.au/shop/productdetails/63665
Basmati Rice,79980,Ben's Original Lightly Flavour Garlic Microwave Rice Pouch,Ben's Original,4,$1.60 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/079980.jpg,https://www.woolworths.com.au/shop/productdetails/79980
Basmati Rice,727257,Ben's Original Brown Mexican Style Microwave Rice Pouch,Ben's Original,4,$1.60 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/727257.jpg,https://www.woolworths.com.au/shop/productdetails/727257
Basmati Rice,261735,Ben's Original Savoury Chicken Flavour Microwave Rice Pouch,Ben's Original,4,$1.60 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/261735.jpg,https://www.woolworths.com.au/shop/productdetails/261735
Basmati Rice,947246,Ben's Original Special Fried Rice,Ben's Original,4,$1.60 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/947246.jpg,https://www.woolworths.com.au/shop/productdetails/947246
Basmati Rice,231636,Sunrice Basmati Rice,Sunrice,6.8,$0.68 / 100G,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/231636.jpg,https://www.woolworths.com.au/shop/productdetails/231636
Basmati Rice,598743,Woolworths Basmati Rice,Woolworths,18,$0.36 / 100G,5kg,https://cdn0.woolworths.media/content/wowproductimages/small/598743.jpg,https://www.woolworths.com.au/shop/productdetails/598743
Basmati Rice,6085375,Sunrice Protein Basmati Rice Pouch,Sunrice,4.5,$1.80 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/6085375.jpg,https://www.woolworths.com.au/shop/productdetails/6085375
